FGM,FGP,FGN,GCO,FGG,NOD,FSN,FNN,CGB,FIN,DGR,CGR,NSD,DPQ,DCN,DOR,DIN,CPS,NPA,BAT,FGC,GBC,IBC,CCN,DNN,FGT,DGP,TCL,TPL,TSL,TAD,TSP,TDL,HMP,AST,FFS,FSP,ADI,ADR,AER,ARR,NPP,NOC,NOO,NM1,NM2,NOA,GCN,GFN,GAL,GUN,GFS,GFR,GFO,GPR,EZ1,EZ2,EZ3,DMP,DMG,HGI,GSI,GST,GEI,NGO,NOE,AFM,ACM,DOA,ACP,NCL,APO,AGE,PDC,ACL,TDD,EM1,PGO,AGS,DPN,NTD,OKP,FVP
Ka ,+,+,+,0,+,-,+,+,+,+,-,0,0,0,0,0,-,+,+,+,0,0,0,-,0,-,+,+,0,0,0,0,0,+,+,+,+,0,+,0,-,-,-,-,-,+,0,+,+,+,0,0,0,0,?,-,-,-,0,0,+,+,+,+,0,0,0,0,0,?,-,0,0,0,0,?,0,-,0,0,0,0,0
Ku,+,+,-,+,-,-,+,+,-,0,-,0,0,-,0,0,-,0,0,0,-,0,0,0,0,+,-,0,+,+,0,0,-,+,+,+,-,0,-,+,+,-,-,-,+,0,0,+,-,-,-,+,-,-,0,-,-,-,0,0,-,+,-,0,0,0,0,0,0,?,-,-,0,0,-,?,0,0,0,0,0,0,0
RGS,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,-,+,-,0,+,+
MsS,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,-,+,-,0,+,-
AdS,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,-,+,-,0,+,+
SCa,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,+,-,+,-,0,+,+
Sal,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,-,-,+,-,+,-
NCa,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,+,-,-,0,-,+
Cam,+,+,+,0,+,-,+,-,-,0,+,0,+,0,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,+,0,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,0,-,+,-,-,0,+,-,-,-,-,0,-,-
It,+,+,+,0,+,-,+,+,-,0,+,+,+,-,-,-,-,+,0,0,-,0,0,0,-,-,0,0,+,+,0,+,-,-,+,+,+,0,+,0,+,-,-,-,-,+,0,-,0,-,-,0,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,-,+,-,+,-,-,0,+,0,-,0,-,0,-,-
