D G E F I S
01 1 1 1 1 1 1
02 0 0 0 0 0 0
03 1 1 1 1 1 1
04 1 1 0 0 0 0
05 1 1 1 1 1 1
06 1 1 0 0 0 0
07 0 0 0 0 0 0
08 0 0 0 0 0 0
09 0 0 0 0 0 0
10 0 0 0 0 0 0
11 1 1 1 1 1 1
12 1 0 0 0 0 0
13 1 1 1 1 1 1
14 0 0 1 1 1 0
15 1 1 1 1 1 1
16 0 0 0 0 1 0
17 1 1 1 1 1 1
18 0 0 0 0 1 0
19 1 1 1 1 0 1
20 1 1 1 1 1 1
21 1 1 1 1 0 1
22 0 0 0 1 1 0
A01 1 1 0 1 1 1
A02 0 0 0 1 1 1
A03 1 1 1 1 1 1
A04 1 1 1 0 0 1
AS0 1 1 0 1 1 0
C01 1 1 1 1 1 1
C02 0 0 0 0 0 0
C03 1 1 1 1 1 1
C04 0 0 0 0 0 0
EE 1 1 1 1 1 0
N2_01 1 1 1 1 1 1
N2_02 0 0 0 1 0 0
N2_03 1 1 1 1 0 1
N2_04 0 0 0 0 1 0
N2_05 1 1 1 1 1 1
N2_06 1 1 1 1 1 1
N2_07 0 0 0 0 0 0
N2_08 0 0 0 0 0 0
N2_09 0 0 0 0 0 0
N2_10 0 0 0 0 1 0
N2_11 0 0 0 0 1 1
Neg_01 1 1 1 0 0 1
Neg_02 1 1 1 1 1 1
Neg_03 0 0 0 0 0 0
Neg_04 0 0 1 0 0 0
Neg_05 0 0 0 0 0 0
Neg_06 0 0 0 0 0 0
Neg_07 0 0 0 0 0 0
Neg_08 0 0 0 0 0 0
Neg_09 0 0 0 0 0 0
Neg_10 0 0 0 0 0 0
Neg_11 0 0 0 0 0 0
Neg_12 0 0 0 0 0 0
Neg_13 0 1 0 0 0 0
Neg_14 0 0 0 0 0 0
N3_01 1 1 1 1 1 1
N3_02 0 0 1 0 0 0
N3_03 0 0 0 0 0 0
N3_04 0 0 0 0 0 0
N3_05 0 0 0 0 0 0
N3_06 0 0 0 0 0 0
N3_07 1 1 1 1 1 1
N3_09 0 0 0 0 0 0
N3_10 0 0 0 0 0 0
N3_11 0 0 0 0 0 0
N3_12 0 0 0 0 0 0
Q01 0 0 0 0 0 0
Q02 0 0 0 0 0 0
Q03 0 0 0 0 0 0
Q05 1 1 0 1 1 1
Q06 1 1 1 1 1 1
Q07 0 0 0 0 0 0
Q08 1 1 1 1 1 1
Q09 0 0 0 0 0 0
Q10 0 0 0 0 0 0
Q11 0 0 0 0 0 0
Q12 0 0 0 0 0 0
Q13 0 0 0 0 0 0
Q14 0 0 0 0 0 0
Q15 0 0 0 0 0 0
Q16 1 1 1 1 1 1
Q17 0 0 0 1 0 0
Q18 0 0 0 0 0 0
Q20 1 1 1 1 1 1
Q21 0 1 0 1 1 1
Q22 1 0 0 0 0 0
V2_01 1 1 0 1 1 1
V2_02 1 1 1 1 1 1
